Date,Problem Name,URL,Platform,Difficulty,Topic,Time Spent,Hint Used,Solved Independently,Revision Required,Notes
"2026-07-30","Find the starting point in LL","https://takeuforward.org/plus/dsa/problems/find-the-starting-point-in-ll?source=strivers-a2z-dsa-track","TUF","Medium","LL","25m 27s","Yes","Yes","Yes","TC - O(N) ; mathematical intuition behind Floyd's cycle detection revision."
"2026-07-29","Detect a loop in LL","https://takeuforward.org/plus/dsa/problems/detect-a-loop-in-ll?source=strivers-a2z-dsa-track","TUF","Medium","LL","38m 21s","Yes","Yes","Yes","TC - O(N)
SC - O(1)"
"2026-07-27","Reverse Pairs","https://takeuforward.org/plus/dsa/problems/reverse-pairs?source=strivers-a2z-dsa-track","TUF","Hard","Arrray","2h 8m 7s","Yes","Yes","Yes","TC - O(nlogn)
SC - O(N)
// Pattern: Use Merge Sort; after both halves are sorted, count cross-half reverse pairs
// with two pointers BEFORE merging. Never reset the right pointer (`j`) because both
// halves are sorted, making the counting step O(n) and the overall algorithm O(n log n)."
"2026-07-26","Find Middle of Linked List","https://takeuforward.org/plus/dsa/problems/find-middle-of-linked-list?source=strivers-a2z-dsa-track","TUF","Easy","LL","16m 37s","No","Yes","No","TC - O(N)

could be done using two pointer, fast and slow approach in a single pass."
"2026-07-26","Reverse a LL","https://takeuforward.org/plus/dsa/problems/reverse-a-ll?source=strivers-a2z-dsa-track","LL","Medium","Medium","18m 7s","No","Yes","No","TC - O(N)"
"2026-07-26","Reverse every word in a string","https://takeuforward.org/plus/dsa/problems/reverse-every-word-in-a-string?source=strivers-a2z-dsa-track","TUF","Medium","Strings","1h 11m 54s","Yes","Yes","Yes","TC - O(n)
SC - O(n)"
"2026-07-24","Count Number of Substrings","https://takeuforward.org/data-structure/count-number-of-substrings","TUF","Easy","Strings","12m 23s","Yes","Yes","Yes","Sliding window approach;
TC - O(n) if no collision in uo_map;
SOLN:
class Solution {
public:
    int NoSubString(string& str, int k) {
        unordered_map<char, int> freq;
        int start = 0;
        freq[str[start]]++;
        int ans = 0;
        for(int i = 1; i < str.size(); i++){
            freq[str[i]]++;
            while(freq.size() > k){
                freq[str[start]]--;
                if(freq[str[start]] == 0){
                    freq.erase(str[start]);
                }
                start++;
                
            }
            if(freq.size() == k){
                ans += i - start;
            }
        }
        return ans;
    }
};"
"2026-07-24","Longest Palindromic Substring","https://takeuforward.org/plus/dsa/problems/longest-palindromic-substring?source=strivers-a2z-dsa-track","TUF","Medium","Strings","1h 24m 34s","Yes","Yes","Yes","TC - O(N ^ 2)"
"2026-07-23","String to Integer (atoi)","https://takeuforward.org/plus/dsa/problems/string-to-integer-atoi?source=strivers-a2z-dsa-track","TUF","Medium","Strings","47m 24s","Yes","Yes","Yes","TC - O(N)
SC - O(1)
lots of edges cases to take care of."
"2026-07-23","Insertion Deletion etc","https://takeuforward.org/plus/dsa/problems/insertion-at-the-head-of-ll?source=strivers-a2z-dsa-track","TUF","Easy","Linked List","1h 31m 45s","No","No","No","Basic Structure and the insertion and deletion at 
1. head
2. tail
3. position
4. value"
"2026-07-23","Merge two sorted arrays without extra space","https://takeuforward.org/plus/dsa/problems/merge-two-sorted-arrays-without-extra-space?source=strivers-a2z-dsa-track","TUF","Medium","Array","1h 25m 22s","Yes","Yes","Yes","TC - O(M + N)"
"2026-07-23","Sort Characters by Frequency","https://takeuforward.org/plus/dsa/problems/sort-characters-by-frequency?source=strivers-a2z-dsa-track","TUF","Easy","Strings","23m 18s","No","Yes","No","TC - O(N)
SC - O(1)"
"2026-07-23","Maximum Nesting Depth of the Parentheses","https://takeuforward.org/plus/dsa/problems/maximum-nesting-depth-of-the-parentheses?source=strivers-a2z-dsa-track","TUF","Medium","Strings","24m 37s","No","Yes","No","TC - O(N)
SC - O(1)"
"2026-07-23","Roman to Integer","https://takeuforward.org/plus/dsa/problems/roman-to-integer?source=strivers-a2z-dsa-track","TUF","Medium","Strings","6m 49s","No","Yes","No","TC - O(N)
SC - O(1)"
"2026-07-22","Minimize Max Distance to Gas Station","https://takeuforward.org/plus/dsa/problems/minimise-max-distance-to-gas-stations?source=strivers-a2z-dsa-track","TUF","Hard","Binary Search","2h 18m 16s","Yes","No","Yes","TC - O(N * log(maxgap))
SC - O(1)"
"2026-07-22","Merge Overlapping Subintervals","https://takeuforward.org/plus/dsa/problems/merge-overlapping-subintervals?source=strivers-a2z-dsa-track","TUF","Medium","Array","53m 53s","Yes","Yes","Yes","TC - O(N)"
"2026-07-21","Rotate String","https://takeuforward.org/plus/dsa/problems/rotate-string?source=strivers-a2z-dsa-track","TUF","Easy","String","34m 42s","Yes","Yes","Yes","TC - O(N)
SC - O(N)

When we have rotation problem, try to concatenate the string with it self. (every possible rotation is in it)"
"2026-07-21","Valid Anagram","https://takeuforward.org/plus/dsa/problems/valid-anagram?source=strivers-a2z-dsa-track","TUF","Easy","String","15m 36s","Yes","Yes","Yes","TC - O(N)
SC - O(1) 
We could have like a freq counter that should be equal to zero for all the char if there are equal no of occurrences in both strings."
"2026-07-21","Painter's Partition","https://takeuforward.org/plus/dsa/problems/painters-partition?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","27m 10s","No","Yes","No","TC - O(N * log(Sum(ele) - max(ele))
SC - O(1)"
"2026-07-21","Count subarrays with given xor K","https://takeuforward.org/dsa/strivers-a2z-sheet-learn-dsa-a-to-z","TUF","Medium","Array","54m 18s","Yes","No","Yes","TC - O(N) avg other wise NlogN incase of collision.
SC - O(N)"
"2026-07-19","Book Allocation Problem","https://takeuforward.org/plus/dsa/problems/book-allocation-problem?source=strivers-a2z-dsa-track","TUF","Medium","Binary Search","59m 11s","No","Yes","Yes","TC - O(N * log(sum(ele) - min(ele))
SC - O(N);"
"2026-07-19","Split array - largest sum","https://takeuforward.org/plus/dsa/problems/split-array---largest-sum?source=strivers-a2z-dsa-track","TUF","Hard","Binary Search","47m 43s","Yes","Yes","Yes","TC - O(N * log( sum(ele) - max(ele));
SC - O(1)
Pattern to remember

This is the classic Binary Search on Answer + Greedy Feasibility pattern:

Guess an answer (mid).
Greedily compute the minimum number of partitions needed.
If partitions <= k, the guess is feasible → try a smaller answer.
Otherwise, increase the guess."
